Topic ,Comment
abc bank,"Hii guys I have a account of abc bank ( abc bank) . They provoid a very bad customers service. And everyone knows it is a one of the oldest bank. It is most profitable bank among the all banks. But they give worst customers service. Yesterday I going abc bank. For loan purpose first day they understand me our process and term and condition and internce of laon. And they said me to meet tomarrow. We will approve your laon ealirer.i go back tomarrow. They said me your some information, documents are wrong your loan can not be approve. And if you are obtain loan earlier so. Reapet the whole procces and submet the our documents agains. Then I complted our formalites. And finally my loan requset approve in 20 days very long time. Very bad service. Guys dont open account in sbk"
Not abc bank it is abc bank of ghatiy,"Everyone knows abc bank is one of oldest bank. abc bank have most number of customer.it is most profitable bank in among all banks .today I am share my experience with this bank .in spite of big name really I am never seen such a worst bank really.first I am going to open a account in abc bank agra chippitola. Branch official did not provide me opening form they tell me go download from internet and fill it and get print out and deposit I am tell to official why I download form from internet .they say we charge 50 rupees per form. I say why I pay for this form it is free of cost. branch official misbehave with me. When I go to branch manager and complaining that your branch official misbehave with me.branch official gives no response to me .I really shocked.however I am able to open account in abc bank.you cannot believe I cannot received my passbook, cheque book ATM card internet banking kit. I call abc bank customer service 1800112211 really such a poor customer care service it get 3 hour to connect call.when I enquiry regarding my passbook cheque book they says we have no rights to check these information go to your branch.i am going my branch and enquiry regarding my bank kit they say wait for someday it will come your registered address.and it will come in my address after 6 months.when I get my passbook I am going to my branch and deposit 500 rupees you can't believe they debited unnecessary charges and alerts charges internet banking charges paid charges to transfer narration comes when I print my passbook.500 balance become 300 in 4 month.people earn money by hard working who can give you right to grab customer money. When I going branch official to enquiry regarding this they say all these charges debited from your account term and condition. I don't get single message regarding this. I am complain regarding this by contact when I check the status of my complaint status comes amount debit according to terms and condition . In spite of these service all other service are poor quality . I got internet banking kit from branch .when I login with usename and password there is always trouble in their site .error comes site maintenance try after sometime.and when sometime it login there is no guarantee whether your transaction is successful or not. I have account in hdfc really what an customer service what an internet banking.however you maintain minimum balance set by bank but they really provide reliable service to their customer. When ever I go branch to deposit there is always a long quee. Now I closed my account from abc bank I am totally dissatisfied abc bank service I am suggest don't open their account in abc bank."
Worst employee and service,"Today I want tell you that the service and poor system while mannerless of the employee of abc bank in most branches in tripura. due to crisis of money being and deployed in boder for the safety of the nation .on the month of first week of januanry I had applied personal loan from abc bank for the education my son . our commandant had granted my application knowing me and the genuniety . Then the ddo had sign for salary certificate. but as of now dispite many request to the manager till today they had not given.They always tell me or make an excuse . the employee now that they will get their salary without valuing the customer as it is look after by govt and does need to care the consumer as private bank so please do not open any account in abc bank to be humilate like me.

"
Bad customer service,"The bank is faithfull but the customer care service is not good . we get no respect and late respond to our queries and needs. Even during the time of demoneytization, they dint support us very well. ATM service is not upto the mark too. Most of the time the machine doesnt work and they dont deliver us the receipt"
Faithful bank.,"abc bank is faithful bank. Because abc bank is government bank and it's working since 56 years. abc bank staff is very good as a behavior and public dealing. many benefits are joining of abc bank group. abc bank is give salary to staff sufficient. maximum account holder are satisfied from working of abc bank. abc bank is largest business bank in abcd.

more benefits from abc bank for example. many abc bank ATM available are everywhere in abcd. abc bank is hire thousand employee for staff. best future scope in abc bank and insurance. work environment is healthy and easy public dealing. I recommend to everyone of abc bank group."
On abc bank,"You know that in abcd abc bank ( abc bank) is a very big bank in which above 120000 employe working.And one thing in this company that is security . In this bank any account holder can get full security of money because each work in this bank work with full security.I have an account in abc bank .Any body can open an account in this bank with full security.Now I am giving some idea on employes that is you know that this bank giving full security, so employe will also get the regular payment .And one onther thing is that abc bank in abcd is very reputed bank.

Thanks and Regards

"
An FD stuck in lethargic beaurocracy,"Below mail trail give you an Idea about how the ball passes. I am also writing original complain doc here.

This entire review is about how the complaint section work specifically in complex matter. Mine was something technically challenging. This was about a fixed depost which is due for payment and branch is unable to do so. This is escalated till chairman and noone cares.

MAIL TRAIL

On Mon, Feb 13, 2017 at 3:43 PM, Varix Patel wrote:

Dear Sir(DGMIT, CHAIRMAN)

Attaching the original complaint. Below is the list of service requests raised by Branch manager for further follow up.

20801748 - 19-Jan-2017

20908571 31-Jan-2017

2090884 31-Jan-2017

Overall an FD is stuck at Railwaypura, Ahd branch due to some hold over it from collateral of Bopal Branch. Loan is liquidated in past but not able to remove that hold and hence Branch is unable to pay. abc bank Railwaypura 7600038036 is the person knowing most about it however some steps to be performed by abc bank Bopal.

This seems to be a technical issue and number of officers tried to resolve this. However it seems that support from higher level is needed.

Best, Regards,

Varix Patel

9727703090 On Wed, Feb 8, 2017 at 12:44 PM, Varix Patel wrote:

Since I am not getting neither resolution nor the updates, I have forwarded my case further. Please find attached complaint number.

-Varix Patel

On Tue, Feb 7, 2017 at 7:11 PM, Varix Patel wrote:

Dear Sir,

Generally, how many days will it take to resolve if this reaches to Chairman? I have escalated step by step after waiting for more than required period and I am sorry to say the experience remained same. I was expecting better response than what I get from a normal clerk.

I really dont want to put my energy towards RBI, banking ombudsman, Social media, Complaint sites to get this resolved unless and otherwise you force me to do so.

Will you please check and let me know how much time you need?

Br,

Varix Patel

On Sat, Feb 4, 2017 at 12:19 PM, Varix Patel wrote:

Dear Sir,

Thank you for the attention. I am waiting.

Br,

Varix Patel

On Wed, Feb 1, 2017 at 5:01 PM, wrote:

Dear Sir,

(pstocgm.lhoahm@abc bank.co.in) (gm.customer@abc bank.co.in)

We have received your email addressed to the Chairman and thank you for bringing it to our attention. We are forwarding your email to the P. S. to Chief General Manager, Local Head Office, Ahmedabad(pstocgm.lhoahm@abc bank.co.in) and to the General Manager(Customer Service)(gm.customer@abc bank.co.in) for early resolution.

Regards,

EXECUTIVE SECRETARY TO CHAIRMAN

Attn: PS to CGM, LHO Ahmedabad / GM(Customer Service)

Kindly arrange for an early resolution of the email under advice to us.

EXECUTIVE SECRETARY TO CHAIRMAN

From: Varix Patel

To: chairman@abc bank.co.in,

Cc: cmcsch.aao4@abc bank.co.in, gm.customer@abc bank.in, AGMCUSTOMER , ""CM CS & CH AAO1"" , saurin patel

Date: 01/31/2017 06:20 PM

Subject: Fwd: FW: FW: Pending Complaints

_

Dear Madam,

Since the earlier ID on your website is wrong and mail bounced back from chairmanabc bank.customer@abc bank.co.in, I found this Id. Not sure if you will get this mail or not.

Best Regards,

Varix Patel

Forwarded message -
From: Varix Patel

Date: Tue, Jan 31, 2017 at 3:29 PM

Subject: Re: FW: FW: Pending Complaints

To: chairmanabc bank.customer@abc bank.co.in

Cc: cmcsch.aao4@abc bank.co.in, gm.customer@abc bank.in, AGMCUSTOMER , CM CS & CH AAO1 , saurin patel

Dear Madam,

Hope you are doing well.

With all the waiting, consuming all escalation channels and observing that team is not able to move matter forward, I am sending the mail trail and attached original complaint in attached PDF for quick reference. Since there are many iterations, PDF would give you summary of an issue.

Best Regards,

Varix Patel

On Mon, Jan 30, 2017 at 11:35 AM, CM CS & CH AAO1 wrote:

Dear sir,

Bopal branch yet to respond, positively. From: abc bank RAILWAYPURA [mailto:abc bank.00302@abc bank.co.in]

Sent: Monday, January 30, 2017 11:24 AM

To:'CM CS & CH AAO1'

Cc: abc bank.05084@abc bank.co.in;'Varix Patel'

Subject: RE: FW: Pending Complaints

Regards,

Chief Manager

Customer Service and

Channel Management

AAO-1

Ahmedabad

7600044939 DEAR SIR,

WE HAVE WRITE TO BOPAL AHMEDABAD 05084 BRANCH FOR DELINK OF THE COLLATERAL BEFORE THAT WE ARE UNABLE TO MAKE THE PAYMENT OF THE DECEASED TDR OF SHRI PATEL.

WE HAVE LODGED THE SERVICE DESK REQUEST ON BEHALF OF THE BOPAL AHMEDABAD BRANCH AND SCAN COPY OF THE SERVICE DESK ALSO SUBMITTED.

SIR BEFORE DELINKING THE COLLATERAL WE CAN NOT MAKE THE PAYMENT OF THE TDR, WE REQUEST TO YOU PLEASE ASK BOPAL AHEMDABAD FOR THE STATUS OF THE DELINKING OF THE COLLATERAL.

THANKING YOU

YOURS FAITHFULLY

BRANCH MANAGER

From: CM CS & CH AAO1 [mailto:cmcsch.aao1@abc bank.co.in]

Sent: 30 January 2017 11:09

To: abc bank.05084@abc bank.co.in; abc bank.00302@abc bank.co.in

Subject: FW: FW: Pending Complaints

From: Cm-Cs-Cm-Aao4 [mailto:cmcsch.aao4@abc bank.co.in]

Sent: Monday, January 30, 2017 11:01 AM

To: abc bank.00302@abc bank.co.in

Cc: cmcsch.aao1@abc bank.co.in; abc bank.00302@abc bank.co.in; abc bank.05084@abc bank.co.in

Subject: FW: FW: Pending Complaints

Dear sir,

Please advise the latest status in this matter. Your mobile 7600038036( BM)- not reachable number and 7600038037( ACCTT)-not a valid number.

-CM CSCMS AAO4

7600001692

From: Varix Patel [mailto:varix.patel@gmail.com]

Sent: 27 January 2017 17:57

To: AGMCUSTOMER

Cc: abc bank BOPAL; cmcsch.aao4@abc bank.co.in; cmgb.aao@abc bank.co.in; agm4.aao@abc bank.co.in; abc bank RAILWAYPURA; pstocgm.lhoahm@abc bank.co.in

Subject: Re: FW: Pending Complaints

Sir,

May I ask you, What have you done except pressing forward button, can you please update? How do you trace such complaints? How do you ensure that customer is updated? Do you ever help branch managers if they are stuck? As you are on customer desk, I believe that is the job you are supposed do, have you done in this case?

ITS BEEN SIX MONTHS And TWO DOZEN MAILS, NOT TO FORGET THAT My mother visited your branch a dozen time before I started writing. -VARIX PATEL

On Wed, Jan 18, 2017 at 6:44 PM, AGMCUSTOMER wrote:

Dear Sir,

DE LINKING OF TDR

PAYMENT OF DECEASED CASE.

Please go through the entire mail. Speak with BM of Railwaypra branch know the details. As per their mail one or more TDRs are to be delinked as they have been marked for collateral / lien. Then only the payment can be materialized. Please look into the matter personally and arrange for immediate resolution.

PLEASE SPEAK WITH BRANCH MANAGER RAILWAYPURA AND RESOLVE.

From:agmcustomer.lhobho@abc bank.co.in[mailto:agmcustomer.lhobho@abc bank.co.in]

Sent: Wednesday, January 18, 2017 12:43 PM

To: ahemedabad

Subject: Fw: Pending Complaints

Sir,

We herewith forwarding the complaint received from the customer as the concerned branch comes under your administrative control So, kindly resolve the issue and give a suitable reply to the customer under confirmation to us.

Regards,

Assistant General Manager(CS)

LHO, Bhopal

From:dgm.customer@abc bank.co.in

Sent:Tuesday, January 17, 2017 6:48 PM

To: Varix Patel

Cc: agmcustomer.lhobho@abc bank.co.in

Subject: Re: Pending Complaints

Dear Sir/Madam,

We acknowledge the receipt of your below mentioned email.

We have forwarded your complaint to the concerned department/agmcustomer /pstocgm at the local head office(mail id as appearing in cc of address bar) who will be arranging for resolution of your issue/complaint/feedback and will be responding/contacting you shortly.

pstocgm.lho@abc bank.co.in

In case of delay please feel free to email to mailto:pstocgm.lho@abc bank.co.in, where stands for first three alphabets of respective circle. i.e. del for Delhi; mum for Mumbai etc

You can also lodge online complaint/feedback/appreciation by visiting the following URL

abc bank.co.in/portal/web/customer-care/complaints-feedback-appreciation.

Regards,

Deputy General Manager

Customer Service Department 16

16th Floor, Corporate Center

-400021 Mumbai 400 021

022-22742431 FAX No. 022-22742431

IMPORTANT: abc bank never asks for your user id/password/pin no. through phone call/SMSes/e-mails. Please do not respond to any such phone call/SMSes/e-mails. Any such phone calls/SMSes/E-mails asking you to reveal your login credentials or One Time Password through SMS could be an attempt to withdraw money from your account. NEVER NEVER share these details to anyone .

-Varix Patel wrote: -

To: gm.customer@abc bank.in

From: Varix Patel

Date: 01/17/2017 06:32PM

Cc: dgm.customer@abc bank.co.in, cms.psg@abc bank.co.in, abc bank BOPAL

Subject: Re: Pending Complaints

Dear Sir,

As you may see the time of the complaint raised from the mail chain and from the details under it, Hereby I am raising this escalation according to the point no.5 mentioned in link below.

abc bank.co.in/webfiles/uploads/files/1339585079004_GRIEVANCE_REDRESSAL_POLICY_JAN_2012.pdf

I would be expecting update as mentioned in point 6.

I understood from Branch manager(Bopal) that the matter is stuck due to some technical difficulties for which they have already raised issue with technical desk. I appreciate cooperation of Mr. Anilkumar. The other branch(abc bank Railwaypura) which has the deposit and primary responsibility appeared complete non co-operative and irresponsible in this matter.

In absence of formal updates, I would like to raise priority of this matter by escalating it further to chairman as mentioned in Point 7 of the same document.

Looking forward to co-operation.

Br,

Varix Patel

09727703090

On Mon, Dec 5, 2016 at 7:04 PM, Varix Patel wrote:

Dear Sir,

I just had a word with Mr. Anil Kumar and learned about the efforts branch people have put(both the branches) Its just that I am now learning that something is happening there and it might be technical thing which is preventing the entire process. Sincerely appreciating and my apology for harsh words. With that someone would have told us about this work.

I will not remind till Mid Jan and will get back to you if things are not resolved by that time.

Br,

Varix Patel

On Mon, Dec 5, 2016 at 6:54 PM, Varix Patel wrote:

Hello Sir,

While I am writing this, I am on call waiting with you branch from last 10 mins. Pl pick up the phone and call each and solve the problem. If I knew how to do that I would have done it.

Br,

Varix Patel

On Mon, Dec 5, 2016 at 6:50 PM, abc bank BOPAL wrote:

Madam / Dear Sir,

As per Railwaypura branch instrcution form last week, we are delinked the security from our system and today we also do the same.

But due to technical problem, railwaypura branch is not able to do the same.

Regards,

Branch Manager

abc bank, Bopal(5084)

From:Varix Patel [mailto:mailto:varix.patel@gmail.com]

Sent: Monday, December 05, 2016 6:37 PM

To: abc bank RAILWAYPURA

Cc: abc bank.05084@abc bank.co.in; CM ADMIN RBO 1

Subject: Re: Pending Complaints

Dear Sir,

Thank you for the efforts and clarity. However I fail to understand if Bopal failed to de link due to some technical reason or are not doing it /not answering at. If I see mail chain, they have not put a single response. Once my mother visited them as guided by your staff and they responded that they have not nothing to do with this.

Now, I am learning that Bopal branch has shown a casual approach. I will meet them tomorrow if possible otherwise I will escalate Bopal branch this time which will include chairman abc bank.

Can you pass me telephone number of abc bank Bopal?

Br,

Varix Patel

On Mon, Dec 5, 2016 at 5:46 PM, abc bank RAILWAYPURA wrote:

Dear sir

We have lodged the service desk request for the payment of the deceased account TDR patyment as per enclosed scan copy.

As the collateral linked with the BOPAL Ahmedabad(05084) branch we are to make the payment of the deceased TDR account.

We are talked to bopal ahmedabad branch two three times we have mailed with the no of the collateral but they are unable to delink it.

We submit herewith the scan copy of the service desk request which we have been lodged. Before de link the collateral we are unable to make the payment of the said TDR.

We request to you please ask the bopal branch for delink of the collateral and help us to make the payment of the deceased TDR of the customer. Thanking you

Yours faithfully

Branch manager

Dear sir

With reference to above we have we have lodged the service desk complaint and they have answered as per enclosed scan sheet, you are requested to de link the all 5 collateral with the TDR no.

The customer is a staff member and he wants the payment of the tdr as a legal hair of his late depositer.

We request to you please de link the collateral as per instructions received from service desk as per enclosure.

Thanking you

Yours faithfully

Branch manager

From: abc bank RAILWAYPURA [mailto:mailto:abc bank.00302@abc bank.co.in]

Sent: 30 November 2016 18:38

To:'abc bank.05084@abc bank.co.in'

Subject: FW: DELINK OF THE COLLATERAL NO, , AND

Dear sir,

We request to you please delink the collateral as per requirement as the staff member wants to close the deceased account 30261317257 with this the collateral is linked.

Thanking you

Yours faithfully

Branch manager

From: abc bank RAILWAYPURA [mailto:mailto:abc bank.00302@abc bank.co.in]

Sent: 23 November 2016 10:25

To:'abc bank.05054@abc bank.co.in';'abc bank.05018@abc bank.co.in'

Cc:'abc bank.04482@abc bank.co.in';'abc bank.15355@abc bank.co.in'

Subject: FW: DELINK OF THE COLLATERAL NO, , AND

Dear sir

Forwarded for necessary action.

Yours faithfully

Branch manager

From: abc bank RAILWAYPURA [mailto:mailto:abc bank.00302@abc bank.co.in]

Sent: 21 November 2016 17:58

To:'abc bank.05054@abc bank.co.in'

Cc:'abc bank.04482@abc bank.co.in';'abc bank.05018@abc bank.co.in'

Subject: DELINK OF THE COLLATERAL NO 77078728675, 77078731213, 770787 41197, 77078776083 AND 77081405795

DEAR SIR

WITH REFERENCE TO ABOVE WE WANT TO STAT THAT PLEASE DELINK THE COLLATERAL NO, , LINKED WITH THE ACCOUNT NO FAVOURING TO SHRI JAYANTIBHAI KHODABAHI PATEL AS THE CUSTOMER WANTS TO CLOSE THE ACCOUNT.

THANKING YOU

YOURS FAITHFULLY

BRANCH MANAGER

RAILWAYPURA

From: Varix Patel [mailto:mailto:varix.patel@gmail.com]

Sent: 05 December 2016 14:34

To: abc bank.00302@abc bank.co.in

Cc: dgm.customer@abc bank.co.in; cms.psg@abc bank.co.in

Subject: Fwd: Pending Complaints

FYI.

Dear Sir, I hope you know that except for one phone call nothing has happened. Why this mail? Did you falsely informed CMS that you resolved the issue?

Br,

Varix Patel

Forwarded message -
From: Varix Patel

Date: Mon, Dec 5, 2016 at 2:29 PM

Subject: Re: Pending Complaints

To: cms.psg@abc bank.co.in

Dear sir,

Please dont send such ridiculous mail. The problem is branch manager and hence the complaint. I believe you dont want me to approach banking ombudsman. For us complaint is still pending and will not be closed unless matter resolved. I consider this as forceful closure to improve your KRA.

Br,

Varix Patel

On Mon, Dec 5, 2016 at 2:20 PM, wrote:

Mr. Mr. JAYANTIBHAI KHODABHAI PATEL

Your Complaint With Ticket No. FD30226935617 has been attended to and closed after resolution as under.

Your Fixed deposit could not be opened / closed / transferred / renewed due to unavoidable reasons. for details please contact branch at telephone no.76

We regret the inconvenience .If your grievance persists, please Contact your Home Branch or call us at our Toll Free Nos. 18004253800/1800112211 or visit us at abc bank.co.inquoting the above ticket number.

We thank you for sharing with us your feedback on the services rendered by us and assure you that it will be our endeavour to provide quality service at all times. We look forward to your feedback in future also.

Thanks and Regards,

Team abc bank

Disclaimer - The information in this mail is confidential and is intended solely for addressee. Access to this mail by anyone else is unauthorised. Copying or further distribution beyond the original recipient may be unlawful. Any opinion expressed in this mail is that of sender and does not necessarily reflect that of State Bank group.-

Disclaimer - The information in this mail is confidential and is intended solely for addressee. Access to this mail by anyone else is unauthorised. Copying or further distribution beyond the original recipient may be unlawful. Any opinion expressed in this mail is that of sender and does not necessarily reflect that of State Bank group.-

Disclaimer - The information in this mail is confidential and is intended solely for addressee. Access to this mail by anyone else is unauthorised. Copying or further distribution beyond the original recipient may be unlawful. Any opinion expressed in this mail is that of sender and does not necessarily reflect that of State Bank group.-

Disclaimer - The information in this mail is confidential and is intended solely for addressee. Access to this mail by anyone else is unauthorised. Copying or further distribution beyond the original recipient may be unlawful. Any opinion expressed in this mail is that of sender and does not necessarily reflect that of State Bank group.-

Disclaimer - The information in this mail is confidential and is intended solely for addressee. Access to this mail by anyone else is unauthorised. Copying or further distribution beyond the original recipient may be unlawful. Any opinion expressed in this mail is that of sender and does not necessarily reflect that of State Bank group.-

Disclaimer - The information in this mail is confidential and is intended solely for addressee. Access to this mail by anyone else is unauthorised. Copying or further distribution beyond the original recipient may be unlawful. Any opinion expressed in this mail is that of sender and does not necessarily reflect that of State Bank group.-"
Bank of Nations,"abc bank biggest in abcd and almost everywhere in world.

abc bank has more than 14000 branches and 191 foreign country offices. I have a saving account with this bank and I also trying to get job in this bank.

It previously known as imperial bank of abcd. It is establish in 1955. It has a feature of RBI that check clearing offices where RBI regional is not exist abc bank do work as rbi.

It gives you a good service all the time and it has very robust administration

It gives you services such as net banking mobile banking and many more with utmost security to the transport layer.

It also has associate bank name abc bank with state. It is a bank where all your dreams must safe and protected.

"
It is best bank of abcd,"I AM A ACCOUNT HOLDER OF abc bank.IT THE LARGEST BANK OF abcd THEY HAVE MANY MORE BRANCHES IN VILLAGES TONE AND CITY. THESE IS THE GOVMENT BANK IT GAVE BAST SALARY AND MORE BENIFIT OF OUR EMPLOYES . THEY GAVE JOB SECURITY FOR 60 YEARS .THERE ARE BEAT CAREESR GROWTH OF abc bank.THEY GAVE BEST LIFE INCSURENCE AND BETTER FACILITY OF THERE ACCOUNT HOLDER THERE WORKING ENVIRONMENT IS BETTER .THEY GAVE ONE SLOGAN ""SIRF BANKING OR KUCH NAHI"" IT IS THE BEST EMPOWERMENT TO INCRESE THE PEOPLE TOO OPENING THE BANK ACCOUNT."
Good service,Hey friend I am mangesh pawar I am the account holder of this abc bank branch mahur distric naanded in my opiniun this is the wonderfull bank as compare than other bank and their service are superb. This is the international bank provice service good than than other nationanal or international bank
Good facility,"Hi guys

I am vishesh and I am account holder of abc bank branch fatehgarh district farrukhabad.

In my opinion this bank is very nice bank for all general people.It has some qualities by which I influneced very much that are,

1) money deposit system

abc bank has lot of CDM( cash deposit machine) across the abcd

2) money withdrawal system

3) internet banking system

4) credit cards benifits

5) loan benifits

6) finance benifit is also not bad

7) application available on android and ios

8) online customer service system

And many more

At the end I suggest to all go for it and have a look"
(abc bank)....worest bank in abcd.,"abc bank) abc bank it is a begest bank in abcd' but not good problem irresponsble stafe, meny times in every branch in abcd employes all are irresponsble working. Some peoples are unedgucated so how to help unedgucated people .abc bank employes are not working meny peoples are complant, d in every branch irresponcble employes .not good bank"
Best bank in abcd,"I'm happy to say that abc bank is the best bank in abcd for all common man for their savings and their business.

I like the network of abc bank which no other banks have. We can open the account for Rs. 0 balance.

Job in abc bank is enjoyable as my friends said. The services provided by abc bank also very good.

Banking and internet banking and mobile banking services are very good.

The customer service executives will help in friendly manner. I suggest people if you don't have abc bank account go and get it"
abc bank,"I have abc bank saving account. In my opinion abc bank is the best bank at the present time. I have also netbanking facility from abc bank . I use abc bank netbanking to pay my credit card bill payment. I like abc bank logo. All abc bank branches well maintained with air conditioner, Furniture. I praise abc bank token facility so that customers wait their turn on sitting Bench. No need queue. In my family 6 member have abc bank account. My family and me trust in abc bank. It is easy to search abc bank ATM because abc bank have many ATM. I prefer abc bank in banking sector."
Banking,"The abc bank is one of the most popular and reliable bank of abcd.I am also a costumer of this bank and enjoying the facilities and benefits. This bank provides fast service in comparison of other banks, In last days of demonetization this bank provide me better service every where like Atms, petrol pumps, book shops, etc. And also gave me reward points. It's internet banking is very use full for all category of peoples who works for any organization and have a own business."
Worst bank,"Earlier abc bank was very popular bank. But nowdays abc bank is becoming worst bank becuse of its system. Everyday we have to stand in crowd to deposit or withdraw our money huge people are coming . All the schemes and welfare activities payment are done through abc bank so a huge rush is there. Employees salary are so good and it is a public bank so no one worries about customer. Their behaviour is also so bad because their job is secure no one through them out.

Instead of abc bank we can open account in other banks which are giving more facilities and advantage to customers and they dont have to wait much more for any banking query."
abc bank staff are totally irresponsible,"Today I will share some bad experience of abc bank one of the the biggest bank of abcd.

Several time I have went to abc bank I have faced the same thing all staff are rudely behaving with customer.they are some time become arrogant and showing apathy towards the customer.generally they take extra 20 min after lunch for that every customer has to suffer"
Very good service and features bank..,"I've been an account holder in this bank since 3 years. I experienced worst with the workers their in our branch. No one is doing their job correctly. Most recklessness to answer the questions. They looks like they have no interest to do their job anymore. Only the compounder do his job correctly except him no one is good. especially in cash counters and banking service officers. But abc bank service is awesome with my whole experience. Only the fault is in employers only.They provide interests half-yearly for whole amount in the account and cut off fixed sms charges quarterly. Very good service.

"
Worst bank in abcd,"Plz plz if r u going to open the account in abc bank then step away.i have opened account but now I am blaming myself.they dont behave with customers well.you can see other banks how they are helpful to customers.also I am going to open my account in axis bank.and dont worry I will write a review on it.and stay tuned for more

"
Bank of every one.,"I am the accout holderof abc bank since 18 years and my experince is very good .there facilities are good. The biggest quality is there branches availibility and atm all over the world. The net banking and the mobile banking are also very good. The check clrearence in short time due to there cbs banking facilities. Some times the crowd burden disturb but its not the big issue.

"
Misbehaving staff and irresponsible staff,"Though abc bank is one of the leading bank of our nation, it doesn't have recruited good staff.to my bad luck I have my account in lingarajpuram branch, where I can see lazy and irresponsible employees.in whole Branch only 1 staff member will be performing her duty correctly, whereas others will be busy having there lunch. This branch hasn't recruited young staff who is enthusiastic in their work rather it had old ladies who is not fit to perform that job. and the way they response to customers are horrible, . Inspite of such big queues, they are 5 minutes early to their lunch and whereas coming back from their lunch takes extra 20 minutes from their break hour.this branch is simply horrible iam very much disappointed being a customer of this bank.

Coming to net banking.I can't describe the way that website has been designed.some time it will show wrong password and some time it will be excepted.that site be logged out automatically though we are using it. terrible branch I have ever experienced. thank you.

"
Sad state of affairs,"Why is it that any government-run institute is filled with lazy and unprofessional staff? abc bank is no different!

Unfortunately I have an account in the Borivali(Gorai) branch and every time I have to visit the branch office I regret my decision of opening the account here. Irrespective of the day of the week the bank is always crowded, not because it is popular but because the management is extremely slow and doesn't care about your schedule.

From submitting the KYC to cheque clearance everything is a struggle here. It has been 2 months since I applied for a new card and every time I cross check I get a standard reply that will be at my doorstep soon.

"
abc bank (abc bank) Review,"abc bank Saving Account Review & Rating

abc bank is a multinational banking and financial services. It is a government-owned corporation with its headquarters in Mumbai, Maharashtra. As of December 2013, it had assets of US$388 billion with Reserve Bank of abcd taking a 60% stake. In the financial year 2012-13, its revenue was INR 200, 560 Crores(US$ 36.9 billion), out of which domestic operations contributed to 95.35% of revenue. It has 16, 000 branches.

Over a period of 10 years I am holding this abc bank account. the mos interesting part its a public sector bank and I am holding an account with the said bank. IT would be great if they work on the customer service and it takes a long time for us to reach the customer service."
abc bank,"Well reputed bank, but service to customers is not so good.they took more than 15 days to simple query regarding IMPS fund transfer.

And purposefully delayed their service when it can happen just few minutes of work. Almost more than 20 Mails and Above 30 calls, and more than 10 visits to branch regadrding same problem."
Big bank but greedy employees,The bank is so big. They provide every facility to coustmers but their staff is very greedy. They don't know how to talk to customers. They know very well that your form is wrong so come after sometime otherwise do it yourself. My friend had activated his internet banking but he forgot his profile( transaction password) so he went to his branch they did not what is the use of profile password. They reset his login password. What a bank. If I talk about new age of staff. They know ver well what is job and how to communicate to customers and talk also
No service,"abc bank is abcd's biggest bank. The bank is highly reputated. But the bank staff is also feel that they are so reputated that customers are nothing to them. They may ne thinking that customers are for them, they are not for the customers. The bank is also greedy that it gives less loan compared to other bank. The service of online banking is poor. I filled two times the form of transaction rights but I still did't get it. But if you are a bank employee than you get handsome salary with good future scopes. The working environment is boring because the bank employees don't like to work or help. But still your job will be secure.

"
abc bank,"abc bank yes it is abcd, s largest bank and I think best bank in the country.Recently I opened a bank a/c with the bank and was amazed with the process of opening an account it was about half an hour, only e kyc verification and my account opened. After that I received cheque book, atm, net banking instantly it was great experience.

It consist accidental insurance also no other document required.i am very happy with the way and technology they used.it has almost 19000 braches and 50000 atm across the country.it follows latest technology to serve its customer.i like it very much.

"
Very best service of abc bank,"Hii friends, today. I am sharing my views about abc bank is a very good service. We are reaching information www. abc bank.co.in. of the site. Herein 100001 great than numbers of employers. Smt. Arundhati bhattacharya is chairman of abc bank. And shri B. Shriram or shri V.G. kannan are managing director of abc bank. State of abcd is a leading multinational and public sector bank in abcd. Its bank is one of famous bank in abcd. Its company type top five hundred in the abcd's company.

"
Very nice bank,"abc bank is a best service .

This bank is available in all over abcd.

And bank provode very superfast service.

So I belive abc bank.

I lived in a small village

Also abc bank branc avilable in village

And abc bank .

I very very like abc bank

Plz join you abc bank and injoy tbis service thans for this"
Worst Bank in the world,"When ever the word bank come in our mind, which reflects the entire envoirment with lots of happiness, relax moods, happy happy people and having lods of good conversation. But this entire scenario will gets changed whenever you enter into any of abc bank branch. The nagativty in the envoirment is always very high. The anger and fustration is always very high with most of the customers. All most all the banks are short of staff and the banks are over crowded. As per income and jon security this bank is good but in terms of working envoirment and peace pf mind it is one of the worst place. As soon as I enter the bank I always thinks about when it will be 4 o clock. And I will out of this bank. A must no for all of you as employee and as a customer as well."
Employer for Public Sector,I am getting my job tomorrow. Hey I am Lababu I am feeling very happy to say that I filled a form for a vecancy of post in abc bank and I really get this Job and I will go for my job tommorow. It is really very happy experience with it. I am appointed for a data worker at fixed salary of 28000 which is very high for me. Staff attitude is also very gentle to me. I can choose many plans like health insuarance and education ensuarance. I have many offers from them. If I work for 1 year and I get promotion then I can choose higher post in bank so it is nice opportunity for comman people who want a genuine emplyer to give job for them. I got the job so you also can get. So pls my friends participate in the exams and take the jobs from them
